Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| _bmad\core (Files)                                                                                                                          |          2 |         15 |          4 |          3 |         22 |
| _bmad\core\bmad-advanced-elicitation                                                                                                        |          2 |        148 |          0 |         42 |        190 |
| _bmad\core\bmad-brainstorming                                                                                                               |         12 |      1,418 |          0 |        718 |      2,136 |
| _bmad\core\bmad-brainstorming (Files)                                                                                                       |          4 |        112 |          0 |         27 |        139 |
| _bmad\core\bmad-brainstorming\steps                                                                                                         |          8 |      1,306 |          0 |        691 |      1,997 |
| _bmad\core\bmad-distillator                                                                                                                 |          8 |        929 |         55 |        245 |      1,229 |
| _bmad\core\bmad-distillator (Files)                                                                                                         |          1 |        124 |          0 |         54 |        178 |
| _bmad\core\bmad-distillator\agents                                                                                                          |          2 |        133 |          0 |         53 |        186 |
| _bmad\core\bmad-distillator\resources                                                                                                       |          3 |        287 |          0 |         72 |        359 |
| _bmad\core\bmad-distillator\scripts                                                                                                         |          2 |        385 |         55 |         66 |        506 |
